x,y,z,s,t,w
5202,3536,6290,22848,23120,23698
13202,8064,15470,17952,19680,23698
17952,8064,19680,13202,15470,23698
22848,3536,23120,5202,6290,23698
5040,21762,22338,8184,23250,23790
8184,21762,23250,5040,22338,23790
7084,3663,7975,22440,22737,23815
22440,3663,22737,7084,7975,23815
9828,16929,19575,13860,21879,23985
13860,16929,21879,9828,19575,23985
13616,6720,15184,18612,19788,24020
18612,6720,19788,13616,15184,24020
13520,3042,13858,19656,19890,24050
19656,3042,19890,13520,13858,24050
5808,10890,12342,20944,23606,24310
5808,9856,11440,21450,23606,24310
20944,10890,23606,5808,12342,24310
21450,9856,23606,5808,11440,24310
3731,5292,6475,23520,24108,24395
5355,3640,6475,23520,23800,24395
9996,12397,15925,18480,22253,24395
15827,1764,15925,18480,18564,24395
18480,12397,22253,9996,15925,24395
18480,1764,18564,15827,15925,24395
23520,5292,24108,3731,6475,24395
23520,3640,23800,5355,6475,24395
7840,9576,12376,21318,23370,24650
21318,9576,23370,7840,12376,24650
10304,19320,21896,11385,22425,24679
11385,19320,22425,10304,21896,24679
14040,3159,14391,20412,20655,24975
20412,3159,20655,14040,14391,24975
4914,10080,11214,22440,24600,25086
22440,10080,24600,4914,11214,25086
5508,3744,6660,24192,24480,25092
24192,3744,24480,5508,6660,25092
13464,16065,20961,14248,21473,25345
13464,9152,16280,19425,21473,25345
14248,16065,21473,13464,20961,25345
19425,9152,21473,13464,16280,25345
2808,2394,3690,25080,25194,25350
25080,2394,25194,2808,3690,25350
2925,21840,22035,12628,25228,25397
12628,21840,25228,2925,22035,25397
6072,11385,12903,21896,24679,25415
6072,10304,11960,22425,24679,25415
21896,11385,24679,6072,12903,25415
22425,10304,24679,6072,11960,25415
10752,20160,22848,11880,23400,25752
11880,20160,23400,10752,22848,25752
5661,3848,6845,24864,25160,25789
24864,3848,25160,5661,6845,25789
14560,3276,14924,21168,21420,25900
21168,3276,21420,14560,14924,25900
14973,1364,15035,21120,21164,25925
21120,1364,21164,14973,15035,25925
7728,3996,8700,24480,24804,25980
24480,3996,24804,7728,8700,25980
15400,13440,20440,16416,21216,26216
16416,13440,21216,15400,20440,26216
5814,3952,7030,25536,25840,26486
25536,3952,25840,5814,7030,26486
6336,11880,13464,22848,25752,26520
6336,10752,12480,23400,25752,26520
22848,11880,25752,6336,13464,26520
23400,10752,25752,6336,12480,26520
2952,20064,20280,17290,26486,26650
10920,18810,21750,15400,24310,26650
10920,12672,16728,20746,24310,26650
15400,18810,24310,10920,21750,26650
17290,20064,26486,2952,20280,26650
20746,12672,24310,10920,16728,26650
13650,15840,20910,16632,22968,26718
16632,15840,22968,13650,20910,26718
11200,21000,23800,12375,24375,26825
12375,21000,24375,11200,23800,26825
15080,13536,20264,17577,22185,26825
15080,3393,15457,21924,22185,26825
17577,13536,22185,15080,20264,26825
21924,3393,22185,15080,15457,26825
2583,17556,17745,20592,27060,27183
4692,5481,7215,26208,26775,27183
5967,4056,7215,26208,26520,27183
15708,7056,17220,21033,22185,27183
20592,17556,27060,2583,17745,27183
21033,7056,22185,15708,17220,27183
26208,5481,26775,4692,7215,27183
26208,4056,26520,5967,7215,27183
6600,12375,14025,23800,26825,27625
6600,11200,13000,24375,26825,27625
14400,9660,17340,21505,23575,27625
21505,9660,23575,14400,17340,27625
23800,12375,26825,6600,14025,27625
24375,11200,26825,6600,13000,27625
15600,3510,15990,22680,22950,27750
22680,3510,22950,15600,15990,27750
5880,25389,26061,9548,27125,27755
9548,25389,27125,5880,26061,27755
4264,6048,7400,26880,27552,27880
6120,4160,7400,26880,27200,27880
11424,14168,18200,21120,25432,27880
18088,2016,18200,21120,21216,27880
21120,14168,25432,11424,18200,27880
21120,2016,21216,18088,18200,27880
26880,6048,27552,4264,7400,27880
26880,4160,27200,6120,7400,27880
11648,21840,24752,12870,25350,27898
12870,21840,25350,11648,24752,27898
8372,4329,9425,26520,26871,28145
26520,4329,26871,8372,9425,28145
1428,5104,5300,27840,28304,28340
27840,5104,28304,1428,5300,28340
6273,4264,7585,27552,27880,28577
27552,4264,27880,6273,7585,28577
16120,3627,16523,23436,23715,28675
23436,3627,23715,16120,16523,28675
2730,3168,4182,28424,28600,28730
6864,12870,14586,24752,27898,28730
6864,11648,13520,25350,27898,28730
24752,12870,27898,6864,14586,28730
25350,11648,27898,6864,13520,28730
28424,3168,28600,2730,4182,28730
12096,22680,25704,13365,26325,28971
13365,22680,26325,12096,25704,28971
11781,19608,22875,17856,26520,29019
17856,19608,26520,11781,22875,29019
5733,11760,13083,26180,28700,29267
26180,11760,28700,5733,13083,29267
6426,4368,7770,28224,28560,29274
28224,4368,28560,6426,7770,29274
12012,20691,23925,16940,26741,29315
16940,20691,26741,12012,23925,29315
7644,13167,15225,25056,28305,29319
25056,13167,28305,7644,15225,29319
17325,15120,22995,18468,23868,29493
18468,15120,23868,17325,22995,29493
3276,2793,4305,29260,29393,29575
29260,2793,29393,3276,4305,29575
16640,3744,17056,24192,24480,29600
24192,3744,24480,16640,17056,29600
12180,8624,14924,25707,27115,29725
25707,8624,27115,12180,14924,29725
7128,13365,15147,25704,28971,29835
7128,12096,14040,26325,28971,29835
25704,13365,28971,7128,15147,29835
26325,12096,28971,7128,14040,29835
6579,4472,7955,28896,29240,29971
28896,4472,29240,6579,7955,29971
8316,16815,18759,23400,28815,29991
23400,16815,28815,8316,18759,29991
17020,8400,18980,23265,24735,30025
23265,8400,24735,17020,18980,30025
12544,23520,26656,13860,27300,30044
13860,23520,27300,12544,26656,30044
9016,4662,10150,28560,28938,30310
28560,4662,28938,9016,10150,30310
6660,24192,25092,17056,29600,30340
17056,24192,29600,6660,25092,30340
17160,3861,17589,24948,25245,30525
24948,3861,25245,17160,17589,30525
6732,4576,8140,29568,29920,30668
29568,4576,29920,6732,8140,30668
7392,13860,15708,26656,30044,30940
7392,12544,14560,27300,30044,30940
26656,13860,30044,7392,15708,30940
27300,12544,30044,7392,14560,30940
2464,6552,7000,30225,30927,31025
30225,6552,30927,2464,7000,31025
12992,24360,27608,14355,28275,31117
14355,24360,28275,12992,27608,31117
15925,18480,24395,19404,26796,31171
19404,18480,26796,15925,24395,31171
3904,29640,29896,9450,31110,31354
9450,29640,31110,3904,29896,31354
4797,6804,8325,30240,30996,31365
6885,4680,8325,30240,30600,31365
12852,15939,20475,23760,28611,31365
20349,2268,20475,23760,23868,31365
23760,15939,28611,12852,20475,31365
23760,2268,23868,20349,20475,31365
30240,6804,30996,4797,8325,31365
30240,4680,30600,6885,8325,31365
4810,17472,18122,25704,31080,31450
17680,3978,18122,25704,26010,31450
25704,17472,31080,4810,18122,31450
25704,3978,26010,17680,18122,31450
9504,27720,29304,12103,30247,31705
12103,27720,30247,9504,29304,31705
6720,29016,29784,10912,31000,31720
10912,29016,31000,6720,29784,31720
13104,22572,26100,18480,29172,31980
18480,22572,29172,13104,26100,31980
7656,14355,16269,27608,31117,32045
7656,12992,15080,28275,31117,32045
10192,17556,20300,24795,30381,32045
24795,17556,30381,10192,20300,32045
27608,14355,31117,7656,16269,32045
28275,12992,31117,7656,15080,32045
7038,4784,8510,30912,31280,32062
30912,4784,31280,7038,8510,32062
13440,25200,28560,14850,29250,32190
14850,25200,29250,13440,28560,32190
18810,16416,24966,20440,26216,32266
18810,15400,24310,21216,26216,32266
20440,16416,26216,18810,24966,32266
21216,15400,26216,18810,24310,32266
5830,30624,31174,8568,31800,32330
8568,30624,31800,5830,31174,32330
18200,4095,18655,26460,26775,32375
26460,4095,26775,18200,18655,32375
9660,4995,10875,30600,31005,32475
30600,4995,31005,9660,10875,32475
7191,4888,8695,31584,31960,32759
31584,4888,31960,7191,8695,32759
19250,16800,25550,20520,26520,32770
20520,16800,26520,19250,25550,32770
7920,14850,16830,28560,32190,33150
7920,13440,15600,29250,32190,33150
17280,11592,20808,25806,28290,33150
25806,11592,28290,17280,20808,33150
28560,14850,32190,7920,16830,33150
29250,13440,32190,7920,15600,33150
13888,26040,29512,15345,30225,33263
15345,26040,30225,13888,29512,33263
18720,4212,19188,27216,27540,33300
27216,4212,27540,18720,19188,33300
6552,13440,14952,29920,32800,33448
29920,13440,32800,6552,14952,33448
7344,4992,8880,32256,32640,33456
32256,4992,32640,7344,8880,33456
3744,3192,4920,33440,33592,33800
33440,3192,33592,3744,4920,33800
13671,9372,16575,29520,30972,33855
29520,9372,30972,13671,16575,33855
7497,5096,9065,32928,33320,34153
32928,5096,33320,7497,9065,34153
19240,4329,19721,27972,28305,34225
27972,4329,28305,19240,19721,34225
8184,15345,17391,29512,33263,34255
8184,13888,16120,30225,33263,34255
29512,15345,33263,8184,17391,34255
30225,13888,33263,8184,16120,34255
14336,26880,30464,15840,31200,34336
15840,26880,31200,14336,30464,34336
10304,5328,11600,32640,33072,34640
32640,5328,33072,10304,11600,34640
14196,24453,28275,20020,31603,34645
20020,24453,31603,14196,28275,34645
5330,7560,9250,33600,34440,34850
7134,5888,9250,33600,34112,34850
7650,5200,9250,33600,34000,34850
14280,17710,22750,26400,31790,34850
22610,2520,22750,26400,26520,34850
26400,17710,31790,14280,22750,34850
26400,2520,26520,22610,22750,34850
33600,7560,34440,5330,9250,34850
33600,5888,34112,7134,9250,34850
